regalCode;description;Retail Excl VAT;Trade Excl VAT;retail;trade;subcategory;category
LK390;MCP040K1 Four Door ACU Metal 6A PSU;14675;9784;16876.25;11251.6;vi_acc;acc
VIRDI RFID SYSTEMS;;;;0;0;vi_acc;acc
LK342;VSR20D Reader EM IP65 RS485;2199;1466;2528.85;1685.9;vi_acc;acc
LK342-1;VSR20D Reader SC IP65 RS485;2245;1497;2581.75;1721.55;vi_acc;acc
;;;;0;0;;acc
Prices are subject to change without prior notice.;;;;0;0;;acc
E&OE. Valid until 31st March 2023.;Page: 60;;;0;0;;acc
www.REGALSECURITY.co.za;05-03-2023;;;0;0;;acc
;;;;0;0;;acc
Trade Price List;;;;0;0;;acc
ACCESS CONTROL;;;;0;0;;acc
Our Code;Item Description;Retail Excl VAT;Trade Excl VAT;#VALUE!;#VALUE!;;acc
;MORPHO BIOMETRIC SYSTEMS;;;0;0;;acc
LK419-1;MA Sigma Bio Lite Reader with Prox IP65;13793;9918;15861.95;11405.7;mor_reader;acc
LK419-2;MA Sigma Bio Lite Multi Reader IP65;11121;7996;12789.15;9195.4;mor_reader;acc
LK419-3;MA Sigma Bio Lite IP65 1:500 iClass CR;13622;9795;15665.3;11264.25;mor_reader;acc
LK420-1;Morpho WR Sigma Lite Reader Screen Prox;15487;11136;17810.05;12806.4;mor_reader;acc
LK420-2;Morpho WR Sigma Lite Reader Screen Multi;14125;10157;16243.75;11680.55;mor_reader;acc
LK420-3;Morpho WR Sigma Lite Reader Screen iClas;15141;10887;17412.15;12520.05;mor_reader;acc
LK422-2;Morpho Sigma STD IP65 1:5000 Bio MD CR;18423;13248;21186.45;15235.2;mor_reader;acc
LK422-3;Morpho Sigma STD IP65 1:5000 Bio iClass;19794;14232;22763.1;16366.8;mor_reader;acc
LK423;Morpho Sigma Extreme IP65 (1:5000) BPCR;38485;27672;44257.75;31822.8;mor_reader;acc
LK423-1;Morpho Sigma Extreme IP65 1:5000 Bio MD;38098;27394;43812.7;31503.1;mor_reader;acc
LK423-2;Morpho Sigma Extreme IP65 1:5000 Bio iCl;38485;27672;44257.75;31822.8;mor_reader;acc
LK426;Morpho Wave Compact MDR;86115;61920;99032.25;71208;mor_reader;acc
LK426-9;MA MorphoWaveSP MD;47785;34359;54952.75;39512.85;mor_reader;acc
LK427;VisionPass Facial Recognition MD;65186;46871;74963.9;53901.65;mor_reader;acc
LK427-1;VisionPass Facial Recognition MDPI;73438;52804;84453.7;60724.6;mor_reader;acc
LK419-4;Sigma Lite Series Rugged SSOD Rainshield;896;742;1030.4;853.3;mor_shield;acc
LK419-5;Sigma Lite Series Rugged ID Mnt Bracket;580;472;667;542.8;mor_shield;acc
LK422-4;Morpho Sigma STD Series Ruggedised ODSSR;1020;839;1173;964.85;mor_shield;acc
LK422-5;MA Sigma STD Series Rugg SS ID Bracket;698;585;802.7;672.75;mor_shield;acc
LK423-3;Morpho Sigma Extreme SS OD Rainshield;1981.79;1565;2279.0585;1799.75;mor_shield;acc
LK423-4;Morpho Sigma Extreme Ruggedised ID SS MB;1407.91;1113;1619.0965;1279.95;mor_shield;acc
LK426-4;Mounting Bracket for MWC SS;1903.77;1711;2189.3355;1967.65;mor_shield;acc
LK426-5;Pedestal for MWC SS;6898.68;5011;7933.482;5762.65;mor_shield;acc
LK426-6;Rainshield for MWC SS;2587.33;2042;2975.4295;2348.3;mor_shield;acc
LK419-6;MA Sigma Lite Plus & Lite Portable Case;8699.75;6473;10004.7125;7443.95;mor_acc;acc
LK422-6;Morpho Sigma STD Portable Case & Battery;9947.5;7369;11439.625;8474.35;mor_acc;acc
LK421-1;MSO 1300 Everif USB Desktop ER;3727.41;2862;4286.5215;3291.3;mor_acc;acc
LK421-2;MSO 330 Enrollment Device USB;9357.69;7185;10761.3435;8262.75;mor_acc;acc
LK421-3;MSO 351 Enrollment Reader USB SC;8528;5969;9807.2;6864.35;mor_acc;acc
LK421-9;MSO 300 Desktop Enrol Reader SC + Verif;10786;7550;12403.9;8682.5;mor_acc;acc
LK424;Sigma Upgrade Increase Lite Series 3000;1609;1158;1850.35;1331.7;mor_acc;acc
LK424-1;Sigma Upgrade Increase Lite & Std 10 000;2195;1578;2524.25;1814.7;mor_acc;acc
LK424-2;Sigma Upgrade Increase Std Series 50 000;4390;3157;5048.5;3630.55;mor_acc;acc
LK424-3;Sigma Upgrade Increase Std Series 100000;8780;6314;10097;7261.1;mor_acc;acc
LK426-3;Morpho Wave Compact Upgradeto 40K Person;31316;22518;36013.4;25895.7;mor_acc;acc
LK425-1;Morpho Software Verification lic (1:1);2270.4;1632;2610.96;1876.8;mor_acc;acc
LK425-2;Morpho USB Dongle Verification lic (1:1);4551.55;3272;5234.2825;3762.8;mor_acc;acc
LK425-3;Morpho Software Verification lic 1:20000;78447.05;56379;90214.1075;64835.85;mor_acc;acc
LK425;Morpho Manager Software - USB Dongle;473;340;543.95;391;mor_acc;acc
LK426-7;Steri-C UV fingerprint sensor sterilisin;1250;914;1437.5;1051.1;mor_acc;acc
LK429-5;Fluss BLE controller;709;491;815.35;564.65;mor_acc;acc
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
